gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/ALS-28_S8.bam
"A1BG"	53
"A1BG-AS1"	221
"A1CF"	0
"A2M"	4983
"A2M-AS1"	138
"A2ML1"	83
"A2MP1"	4
"A3GALT2"	0
"A4GALT"	85
"A4GNT"	0
"AA06"	89
"AAAS"	539
"AACS"	2138
"AACSP1"	22
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	0
"AADACL3"	0
"AADACL4"	0
"AADACP1"	0
"AADAT"	432
"AAED1"	75
"AAGAB"	1578
"AAK1"	13398
"AAMDC"	126
"AAMP"	1955
"AANAT"	3
"AAR2"	433
"AARD"	13
"AARS"	9134
"AARS2"	979
"AARSD1"	298
"AASDH"	846
"AASDHPPT"	2855
"AASS"	1020
"AATBC"	6
"AATF"	715
"AATK"	4517
"ABALON"	8
"ABAT"	9881
"ABCA1"	1028
"ABCA10"	733
"ABCA11P"	331
"ABCA12"	34
"ABCA13"	5
"ABCA17P"	213
"ABCA2"	22751
"ABCA3"	6268
"ABCA4"	45
"ABCA5"	3871
"ABCA6"	706
"ABCA7"	743
"ABCA8"	3094
"ABCA9"	905
"ABCA9-AS1"	3
"ABCB1"	785
"ABCB10"	552
"ABCB11"	5
"ABCB4"	21
"ABCB5"	0
"ABCB6"	951
"ABCB7"	604
"ABCB8"	1216
"ABCB9"	731
"ABCC1"	886
"ABCC10"	684
"ABCC11"	57
"ABCC12"	53
"ABCC13"	1
"ABCC2"	47
"ABCC3"	30
"ABCC4"	559
"ABCC5"	4381
"ABCC5-AS1"	0
"ABCC6"	44
"ABCC6P1"	16
"ABCC6P2"	0
"ABCC8"	2076
"ABCC9"	1113
"ABCD1"	82
"ABCD2"	792
"ABCD3"	1299
"ABCD4"	1111
"ABCE1"	1623
"ABCF1"	1135
"ABCF2"	1772
"ABCF3"	1323
"ABCG1"	943
"ABCG2"	910
"ABCG4"	681
"ABCG5"	19
"ABCG8"	67
"ABHD1"	14
"ABHD10"	1063
"ABHD11"	167
"ABHD11-AS1"	0
"ABHD12"	1956
"ABHD12B"	86
"ABHD13"	886
"ABHD14A"	400
"ABHD14A-ACY1"	172
"ABHD14B"	355
"ABHD15"	125
"ABHD16A"	1032
"ABHD16B"	0
"ABHD17A"	1643
"ABHD17B"	999
"ABHD17C"	425
"ABHD18"	596
"ABHD2"	7978
"ABHD3"	291
"ABHD4"	662
"ABHD5"	682
"ABHD6"	1156
"ABHD8"	1445
"ABI1"	2567
"ABI2"	9235
"ABI3"	99
"ABI3BP"	165
"ABL1"	1830
"ABL2"	3335
"ABLIM1"	10152
"ABLIM2"	2770
"ABLIM3"	1363
"ABO"	18
"ABR"	13897
"ABRA"	2
"ABRACL"	120
"ABRAXAS1"	91
"ABRAXAS2"	595
"ABT1"	232
"ABTB1"	903
"ABTB2"	177
"ACAA1"	1090
"ACAA2"	922
"ACACA"	8083
"ACACB"	2159
"ACAD10"	658
"ACAD11"	986
"ACAD8"	745
"ACAD9"	1070
"ACADL"	119
"ACADM"	926
"ACADS"	369
"ACADSB"	1823
"ACADVL"	3370
"ACAN"	186
"ACAP1"	27
"ACAP2"	2258
"ACAP3"	2873
"ACAT1"	1189
"ACAT2"	1352
"ACBD3"	1029
"ACBD3-AS1"	2
"ACBD4"	433
"ACBD5"	1879
"ACBD6"	556
"ACBD7"	1960
"ACBD7-DCLRE1CP1"	60
"ACCS"	155
"ACCSL"	2
"ACD"	372
"ACE"	264
"ACE2"	22
"ACER1"	2
"ACER2"	298
"ACER3"	1528
"ACHE"	406
"ACIN1"	2620
"ACKR1"	261
"ACKR2"	36
"ACKR3"	142
"ACKR4"	7
"ACLY"	3944
"ACMSD"	0
"ACO1"	1471
"ACO2"	8214
"ACOD1"	0
"ACOT1"	96
"ACOT11"	636
"ACOT12"	10
"ACOT13"	722
"ACOT2"	231
"ACOT4"	85
"ACOT6"	1
"ACOT7"	2241
"ACOT8"	510
"ACOT9"	815
"ACOX1"	3525
"ACOX2"	79
"ACOX3"	951
"ACOXL"	0
"ACOXL-AS1"	29
"ACP1"	1380
"ACP2"	668
"ACP4"	0
"ACP5"	15
"ACP6"	461
"ACP7"	32
"ACPP"	30
"ACR"	8
"ACRBP"	12
"ACRV1"	13
"ACSBG1"	2026
"ACSBG2"	6
"ACSF2"	242
"ACSF3"	499
"ACSL1"	2027
"ACSL3"	6201
"ACSL4"	2660
"ACSL5"	573
"ACSL6"	4469
"ACSM1"	6
"ACSM2A"	0
"ACSM2B"	0
"ACSM3"	4
"ACSM4"	0
"ACSM5"	135
"ACSM6"	0
"ACSS1"	1415
"ACSS2"	1131
"ACSS3"	588
"ACTA1"	16
"ACTA2"	651
"ACTA2-AS1"	258
"ACTB"	48268
"ACTBL2"	0
"ACTC1"	20
"ACTG1"	19165
"ACTG1P17"	6
"ACTG1P20"	158
"ACTG1P4"	312
"ACTG2"	94
"ACTL10"	1
"ACTL6A"	167
"ACTL6B"	857
"ACTL7A"	0
"ACTL7B"	2
"ACTL8"	0
"ACTL9"	0
"ACTN1"	4316
"ACTN1-AS1"	1
"ACTN2"	1946
"ACTN3"	0
"ACTN4"	4641
"ACTR10"	1350
"ACTR1A"	4654
"ACTR1B"	3099
"ACTR2"	5907
"ACTR3"	2164
"ACTR3B"	886
"ACTR3BP2"	1
"ACTR3BP5"	0
"ACTR3C"	427
"ACTR5"	397
"ACTR6"	742
"ACTR8"	984
"ACTRT1"	1
"ACTRT2"	0
"ACTRT3"	33
"ACVR1"	421
"ACVR1B"	2357
"ACVR1C"	668
"ACVR2A"	1208
"ACVR2B"	1879
"ACVR2B-AS1"	50
"ACVRL1"	372
"ACY1"	87
"ACY3"	4
"ACYP1"	271
"ACYP2"	494
"ADA"	83
"ADA2"	424
"ADAD1"	0
"ADAD2"	39
"ADAL"	418
"ADAM10"	2814
"ADAM11"	2751
"ADAM12"	131
"ADAM15"	1208
"ADAM17"	1322
"ADAM18"	0
"ADAM19"	567
"ADAM1A"	234
"ADAM2"	0
"ADAM20"	418
"ADAM20P1"	355
"ADAM21"	23
"ADAM21P1"	0
"ADAM22"	7854
"ADAM23"	4657
"ADAM28"	406
"ADAM29"	11
"ADAM30"	0
"ADAM32"	257
"ADAM33"	185
"ADAM3A"	0
"ADAM3B"	10
"ADAM5"	5
"ADAM6"	0
"ADAM7"	1
"ADAM8"	110
"ADAM9"	2018
"ADAMDEC1"	0
"ADAMTS1"	1479
"ADAMTS10"	875
"ADAMTS12"	27
"ADAMTS13"	569
"ADAMTS14"	146
"ADAMTS15"	69
"ADAMTS16"	193
"ADAMTS17"	267
"ADAMTS18"	212
"ADAMTS19"	293
"ADAMTS19-AS1"	15
"ADAMTS2"	150
"ADAMTS20"	16
"ADAMTS3"	300
"ADAMTS4"	1014
"ADAMTS5"	56
"ADAMTS6"	105
"ADAMTS7"	17
"ADAMTS7P1"	118
"ADAMTS8"	404
"ADAMTS9"	1476
"ADAMTS9-AS1"	9
"ADAMTS9-AS2"	217
"ADAMTSL1"	180
"ADAMTSL2"	328
"ADAMTSL3"	398
"ADAMTSL4"	94
"ADAMTSL4-AS1"	26
"ADAMTSL5"	20
"ADAP1"	2174
"ADAP2"	149
"ADAR"	11987
"ADARB1"	2175
"ADARB2"	1760
"ADARB2-AS1"	9
"ADAT1"	983
"ADAT2"	189
"ADAT3"	30
"ADCK1"	282
"ADCK2"	807
"ADCK5"	190
"ADCY1"	20747
"ADCY10"	174
"ADCY10P1"	495
"ADCY2"	6567
"ADCY3"	2481
