gene/TE	/sonas-hs/mhammell/hpc/home/tam/workdir/ALS/regina_samples/BAM/Co-23_S8.bam
"A1BG"	67
"A1BG-AS1"	194
"A1CF"	0
"A2M"	5665
"A2M-AS1"	76
"A2ML1"	207
"A2MP1"	2
"A3GALT2"	1
"A4GALT"	46
"A4GNT"	0
"AA06"	42
"AAAS"	478
"AACS"	1322
"AACSP1"	7
"AADAC"	0
"AADACL2"	0
"AADACL2-AS1"	1
"AADACL3"	0
"AADACL4"	1
"AADACP1"	0
"AADAT"	399
"AAED1"	61
"AAGAB"	1206
"AAK1"	9018
"AAMDC"	53
"AAMP"	1547
"AANAT"	5
"AAR2"	269
"AARD"	11
"AARS"	6832
"AARS2"	777
"AARSD1"	306
"AASDH"	532
"AASDHPPT"	1465
"AASS"	1218
"AATBC"	12
"AATF"	731
"AATK"	6602
"ABALON"	4
"ABAT"	6748
"ABCA1"	804
"ABCA10"	391
"ABCA11P"	177
"ABCA12"	12
"ABCA13"	4
"ABCA17P"	95
"ABCA2"	28117
"ABCA3"	5152
"ABCA4"	37
"ABCA5"	1869
"ABCA6"	384
"ABCA7"	516
"ABCA8"	2091
"ABCA9"	525
"ABCA9-AS1"	5
"ABCB1"	947
"ABCB10"	309
"ABCB11"	3
"ABCB4"	20
"ABCB5"	0
"ABCB6"	806
"ABCB7"	347
"ABCB8"	834
"ABCB9"	625
"ABCC1"	541
"ABCC10"	516
"ABCC11"	18
"ABCC12"	94
"ABCC13"	0
"ABCC2"	26
"ABCC3"	16
"ABCC4"	390
"ABCC5"	2573
"ABCC5-AS1"	0
"ABCC6"	8
"ABCC6P1"	9
"ABCC6P2"	2
"ABCC8"	1355
"ABCC9"	523
"ABCD1"	124
"ABCD2"	521
"ABCD3"	959
"ABCD4"	610
"ABCE1"	1155
"ABCF1"	1178
"ABCF2"	1328
"ABCF3"	1244
"ABCG1"	802
"ABCG2"	1011
"ABCG4"	507
"ABCG5"	9
"ABCG8"	39
"ABHD1"	14
"ABHD10"	804
"ABHD11"	146
"ABHD11-AS1"	0
"ABHD12"	1582
"ABHD12B"	57
"ABHD13"	555
"ABHD14A"	493
"ABHD14A-ACY1"	138
"ABHD14B"	164
"ABHD15"	146
"ABHD16A"	930
"ABHD16B"	0
"ABHD17A"	2155
"ABHD17B"	728
"ABHD17C"	189
"ABHD18"	418
"ABHD2"	4351
"ABHD3"	131
"ABHD4"	249
"ABHD5"	406
"ABHD6"	1135
"ABHD8"	1380
"ABI1"	1696
"ABI2"	6210
"ABI3"	112
"ABI3BP"	98
"ABL1"	2137
"ABL2"	2289
"ABLIM1"	5677
"ABLIM2"	2263
"ABLIM3"	1118
"ABO"	14
"ABR"	10820
"ABRA"	6
"ABRACL"	110
"ABRAXAS1"	65
"ABRAXAS2"	485
"ABT1"	203
"ABTB1"	897
"ABTB2"	293
"ACAA1"	888
"ACAA2"	459
"ACACA"	5395
"ACACB"	1513
"ACAD10"	449
"ACAD11"	653
"ACAD8"	549
"ACAD9"	911
"ACADL"	38
"ACADM"	934
"ACADS"	199
"ACADSB"	1203
"ACADVL"	3668
"ACAN"	100
"ACAP1"	30
"ACAP2"	2081
"ACAP3"	3265
"ACAT1"	889
"ACAT2"	609
"ACBD3"	1058
"ACBD3-AS1"	0
"ACBD4"	344
"ACBD5"	1744
"ACBD6"	590
"ACBD7"	1361
"ACBD7-DCLRE1CP1"	42
"ACCS"	136
"ACCSL"	0
"ACD"	318
"ACE"	174
"ACE2"	11
"ACER1"	1
"ACER2"	227
"ACER3"	1456
"ACHE"	469
"ACIN1"	2643
"ACKR1"	177
"ACKR2"	32
"ACKR3"	91
"ACKR4"	4
"ACLY"	2904
"ACMSD"	0
"ACO1"	643
"ACO2"	7805
"ACOD1"	0
"ACOT1"	79
"ACOT11"	587
"ACOT12"	1
"ACOT13"	543
"ACOT2"	207
"ACOT4"	45
